セクション,No.,設問,YES/NO,備考(現状や懸念点)
A. 業務選定の筋,A1,検討中の業務は、毎日または毎週発生する,,
A. 業務選定の筋,A2,その業務には、ルールだけでは処理しきれない文脈判断や例外対応が含まれる,,
A. 業務選定の筋,A3,AIが間違えても、人間の確認や修正でリカバリーできる範囲である,,
B. データ・情報整理,B1,AIに答えてほしい情報が、社内のどこかに既に登録されている,,
B. データ・情報整理,B2,その情報は1つの場所にまとまっている(複数資料に分散していない),,
B. データ・情報整理,B3,情報は最新の状態にメンテナンスされている,,
B. データ・情報整理,B4,情報はデジタル化されている(紙・口頭伝承だけになっていない),,
C. 組織・責任設計,C1,AI導入で効率化した担当者の評価や役割転換について、方針を決めている,,
C. 組織・責任設計,C2,AIの出力に基づく判断の最終責任者が誰か、明確になっている,,
C. 組織・責任設計,C3,「仕事を奪われる」という現場の不安に対して、具体的な見通しを示せる,,
C. 組織・責任設計,C4,プロンプトや情報の日常的な改善を、現場担当者が即日対応できる体制である,,
D. 本番運用の視点,D1,PoCの目的を「精度証明」ではなく「失敗パターンの洗い出し」として設計している,,
D. 本番運用の視点,D2,残存失敗率を関係者と合意し、業務上許容できる水準を決めている,,
D. 本番運用の視点,D3,本番化後のモニタリングと改善サイクルの体制を想定している,,
,,YESの合計,=COUNTIF(D2:D15;"YES"),
,,,,
,,【判定基準】,,
,,12〜14,導入準備完了:小さく始めて定着を設計せよ,
,,8〜11,準備不足あり:NOの項目を優先的に潰す,
,,4〜7,土台から要見直し:業務選定か組織設計から手をつける,
,,0〜3,着手時期ではない:業務の言語化と情報整理から始める,
