No.,業務名,担当部署,月間発生回数,1回あたり所要時間(分),頻度(1-5),判断幅(1-5),影響度(1-5),合計点,優先順位,メモ
1,,,,,,,,=F2+G2+H2,,
2,,,,,,,,=F3+G3+H3,,
3,,,,,,,,=F4+G4+H4,,
4,,,,,,,,=F5+G5+H5,,
5,,,,,,,,=F6+G6+H6,,
6,,,,,,,,=F7+G7+H7,,
7,,,,,,,,=F8+G8+H8,,
8,,,,,,,,=F9+G9+H9,,
9,,,,,,,,=F10+G10+H10,,
10,,,,,,,,=F11+G11+H11,,
11,,,,,,,,=F12+G12+H12,,
12,,,,,,,,=F13+G13+H13,,
13,,,,,,,,=F14+G14+H14,,
14,,,,,,,,=F15+G15+H15,,
15,,,,,,,,=F16+G16+H16,,
16,,,,,,,,=F17+G17+H17,,
17,,,,,,,,=F18+G18+H18,,
18,,,,,,,,=F19+G19+H19,,
19,,,,,,,,=F20+G20+H20,,
20,,,,,,,,=F21+G21+H21,,
,,,,,,,,,,
,【スコアリング基準】,,,,,,,,,
,軸,5点,4点,3点,2点,1点,,,,
,頻度,毎日,週複数回,週1回,月複数回,月1未満,,,,
,判断幅,常に例外対応,半数以上例外,半々,稀に判断,完全ルール,,,,
,影響度,容易にリカバリー,軽微な手戻り,対応可能,相当な労力,リカバリー不可,,,,
,,,,,,,,,,
,【合計点の解釈】,,,,,,,,,
,13-15点,最有力候補,,,,,,,,
,10-12点,有力候補,,,,,,,,
,7-9点,要検討,,,,,,,,
,4-6点,優先度低,,,,,,,,
,3点以下,対象外,,,,,,,,
