No.,質問,見ているポイント,A社_回答,A社_評価,B社_回答,B社_評価,C社_回答,C社_評価
Q1,PoCの目的を、精度証明ではなく失敗パターンの洗い出しとして設計できますか?,本番化の現実を理解しているか,,,,,,
Q2,本番化後の改善サイクルを、どんな体制と頻度で回しますか?,作って終わりではないか,,,,,,
Q3,データとシステムは、当社のクラウド環境に構築できますか?,データ主権を理解しているか,,,,,,
Q4,AIの精度が出ないとき、どんな順番で原因を切り分けますか?,モデル変更以外の手段を持っているか,,,,,,
Q5,権限管理を、AIの回答の中身にまで反映させる設計はできますか?,エンタープライズの基本を押さえているか,,,,,,
Q6,導入後のモニタリング(定点観測・フィードバック収集)の仕組みはありますか?,長期運用の視点があるか,,,,,,
Q7,契約終了時のデータ引き渡しと移行支援の条件を、契約書に明記できますか?,顧客側の立場で考えているか,,,,,,
,,,,,,,,
,,◎の数,=COUNTIF(E2:E8;"◎"),,=COUNTIF(G2:G8;"◎"),,=COUNTIF(I2:I8;"◎"),
,,○の数,=COUNTIF(E2:E8;"○"),,=COUNTIF(G2:G8;"○"),,=COUNTIF(I2:I8;"○"),
,,△の数,=COUNTIF(E2:E8;"△"),,=COUNTIF(G2:G8;"△"),,=COUNTIF(I2:I8;"△"),
,,×の数,=COUNTIF(E2:E8;"×"),,=COUNTIF(G2:G8;"×"),,=COUNTIF(I2:I8;"×"),
,,概算費用(初期/月額),,,,,,
,,想定スケジュール,,,,,,
,,総合所見,,,,,,
,,,,,,,,
,【評価基準】,,,,,,,
,◎,期待を超える回答。具体例・体制・数字まで提示できた,,,,,,
,○,妥当な回答。理解度は十分,,,,,,
,△,抽象的な回答にとどまる。掘り下げると怪しい,,,,,,
,×,質問の意図を理解していない、または回答できない,,,,,,
